Position,Track Name,Artist,Streams,ADMIN
8,Despacito (Featuring Daddy Yankee),Luis Fonsi,1580,Luxembourg
9,Mama,Jonas Blue,1517,Luxembourg
10,Signs,Drake,1481,Luxembourg
1,Despacito - Remix,Luis Fonsi,689923,United Kingdom
2,Wild Thoughts,DJ Khaled,668182,United Kingdom
3,Unforgettable,French Montana,510577,United Kingdom
4,Mama,Jonas Blue,443786,United Kingdom
5,I'm the One,DJ Khaled,432504,United Kingdom
6,Strip That Down,Liam Payne,418311,United Kingdom
7,2U (feat. Justin Bieber),David Guetta,385518,United Kingdom
8,Feels,Calvin Harris,346676,United Kingdom
9,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,338202,United Kingdom
10,Attention,Charlie Puth,322268,United Kingdom
1,Una Lady Como Tú,Manuel Turizo,16556,Paraguay
2,Escápate Conmigo,Wisin,14316,Paraguay
3,Felices los 4,Maluma,14038,Paraguay
4,Me Rehúso,Danny Ocean,13766,Paraguay
5,Ahora Dice,Chris Jeday,11903,Paraguay
6,Hey DJ,CNCO,11615,Paraguay
7,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel Aa,10661,Paraguay
8,Besándote,Piso 21,9418,Paraguay
9,Si Tú La Ves,Nicky Jam,8453,Paraguay
10,Tu Foto,Ozuna,7911,Paraguay
1,Despacito - Remix,Luis Fonsi,217145,Australia
2,Wild Thoughts,DJ Khaled,197369,Australia
3,I'm the One,DJ Khaled,168150,Australia
4,Strip That Down,Liam Payne,160626,Australia
5,2U (feat. Justin Bieber),David Guetta,141460,Australia
6,Mama,Jonas Blue,131879,Australia
7,HUMBLE.,Kendrick Lamar,131851,Australia
8,Feels,Calvin Harris,119889,Australia
9,Attention,Charlie Puth,119091,Australia
10,Thunder,Imagine Dragons,119077,Australia
1,Thunder,Imagine Dragons,3670,Latvia
2,Despacito - Remix,Luis Fonsi,2818,Latvia
3,2U (feat. Justin Bieber),David Guetta,2505,Latvia
4,More Than You Know,Axwell /\ Ingrosso,2434,Latvia
5,There for You,Martin Garrix,2327,Latvia
6,Unforgettable,French Montana,2269,Latvia
7,HUMBLE.,Kendrick Lamar,2204,Latvia
8,Wild Thoughts,DJ Khaled,2184,Latvia
9,Believer,Imagine Dragons,2174,Latvia
10,I'm the One,DJ Khaled,2118,Latvia
1,Despacito - Remix,Luis Fonsi,6697,Greece
2,Wild Thoughts,DJ Khaled,5798,Greece
3,2U (feat. Justin Bieber),David Guetta,5011,Greece
4,I'm the One,DJ Khaled,4422,Greece
5,Unforgettable,French Montana,4346,Greece
6,Shape of You,Ed Sheeran,3790,Greece
7,Signs,Drake,3581,Greece
8,Attention,Charlie Puth,3570,Greece
9,More Than You Know,Axwell /\ Ingrosso,3528,Greece
10,There for You,Martin Garrix,3516,Greece
1,Despacito - Remix,Luis Fonsi,17349,Hong Kong
2,Shape of You,Ed Sheeran,12449,Hong Kong
3,2U (feat. Justin Bieber),David Guetta,12262,Hong Kong
4,Attention,Charlie Puth,10753,Hong Kong
5,Something Just Like This,The Chainsmokers,10636,Hong Kong
6,I'm the One,DJ Khaled,10568,Hong Kong
7,Feels,Calvin Harris,10372,Hong Kong
