Position,Track,Artist,Streams,ADMIN
1,rockstar,Post Malone,243473,Australia
2,I Fall Apart,Post Malone,209953,Australia
3,Havana,Camila Cabello,189186,Australia
4,Silence,Marshmello,171596,Australia
5,Let You Down,NF,164892,Australia
6,Wolves,Selena Gomez,163262,Australia
7,Young Dumb & Broke,Khalid,159453,Australia
8,New Rules,Dua Lipa,150424,Australia
9,What Lovers Do (feat. SZA),Maroon 5,146684,Australia
10,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,142944,Australia
1,rockstar,Post Malone,5790,Latvia
2,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,3082,Latvia
3,Gucci Gang,Lil Pump,2792,Latvia
4,Wolves,Selena Gomez,2741,Latvia
5,All I Want for Christmas Is You,Mariah Carey,2652,Latvia
6,Havana,Camila Cabello,2455,Latvia
7,Silence,Marshmello,2388,Latvia
8,I Fall Apart,Post Malone,2365,Latvia
9,Dusk Till Dawn - Radio Edit,ZAYN,2359,Latvia
10,Let You Down,NF,2349,Latvia
1,rockstar,Post Malone,8695,Greece
2,Havana,Camila Cabello,5424,Greece
3,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,5265,Greece
4,Gucci Gang,Lil Pump,4875,Greece
5,Wolves,Selena Gomez,4577,Greece
6,New Rules,Dua Lipa,4322,Greece
7,Dusk Till Dawn - Radio Edit,ZAYN,4213,Greece
8,All I Want for Christmas Is You,Mariah Carey,4085,Greece
9,What Lovers Do (feat. SZA),Maroon 5,3466,Greece
10,How Long,Charlie Puth,3263,Greece
1,Wolves,Selena Gomez,15065,Hong Kong
2,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,12973,Hong Kong
3,Havana,Camila Cabello,12429,Hong Kong
4,What Lovers Do (feat. SZA),Maroon 5,11858,Hong Kong
5,Perfect,Ed Sheeran,10639,Hong Kong
6,How Long,Charlie Puth,10584,Hong Kong
7,Too Good At Goodbyes,Sam Smith,10389,Hong Kong
8,All Falls Down,Alan Walker,9922,Hong Kong
9,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,9282,Hong Kong
10,New Rules,Dua Lipa,9160,Hong Kong
