Position,Track Name,Artist,Streams,ADMIN
1,Una Lady Como Tú,Manuel Turizo,17506,Paraguay
2,Mi Gente,J Balvin,14317,Paraguay
3,Me Rehúso,Danny Ocean,11790,Paraguay
4,Escápate Conmigo,Wisin,11531,Paraguay
5,Ahora Dice,Chris Jeday,10742,Paraguay
6,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel Aa,10184,Paraguay
7,Hey DJ,CNCO,9736,Paraguay
8,Felices los 4,Maluma,9388,Paraguay
9,Pode Se Soltar,Jerry Smith,8801,Paraguay
10,Besándote,Piso 21,8637,Paraguay
1,Wild Thoughts,DJ Khaled,173142,Australia
2,Glorious (feat. Skylar Grey),Macklemore,171184,Australia
3,Despacito - Remix,Luis Fonsi,169347,Australia
4,Strip That Down,Liam Payne,165035,Australia
5,Feels,Calvin Harris,162370,Australia
6,Unforgettable,French Montana,159444,Australia
7,Thunder,Imagine Dragons,150579,Australia
8,Mama,Jonas Blue,148484,Australia
9,2U (feat. Justin Bieber),David Guetta,141327,Australia
10,I'm the One,DJ Khaled,140671,Australia
1,Thunder,Imagine Dragons,3420,Latvia
2,More Than You Know,Axwell /\ Ingrosso,3025,Latvia
3,Unforgettable,French Montana,2950,Latvia
4,2U (feat. Justin Bieber),David Guetta,2622,Latvia
5,There for You,Martin Garrix,2506,Latvia
6,Mi Gente,J Balvin,2506,Latvia
7,Mama,Jonas Blue,2416,Latvia
8,Feels,Calvin Harris,2371,Latvia
9,Wild Thoughts,DJ Khaled,2333,Latvia
10,Despacito - Remix,Luis Fonsi,2321,Latvia
1,Mi Gente,J Balvin,5923,Greece
2,Wild Thoughts,DJ Khaled,5917,Greece
3,Despacito - Remix,Luis Fonsi,5520,Greece
4,Unforgettable,French Montana,5244,Greece
5,2U (feat. Justin Bieber),David Guetta,4666,Greece
6,Mama,Jonas Blue,4205,Greece
7,Fetish (feat. Gucci Mane),Selena Gomez,4123,Greece
8,New Rules,Dua Lipa,4097,Greece
9,More Than You Know,Axwell /\ Ingrosso,3845,Greece
10,Attention,Charlie Puth,3831,Greece
1,Despacito - Remix,Luis Fonsi,16653,Hong Kong
2,Shape of You,Ed Sheeran,11939,Hong Kong
3,2U (feat. Justin Bieber),David Guetta,11564,Hong Kong
4,Attention,Charlie Puth,11427,Hong Kong
5,Back to You (feat. Bebe Rexha & Digital Farm Animals),Louis Tomlinson,10978,Hong Kong
6,Something Just Like This,The Chainsmokers,10811,Hong Kong
7,Feels,Calvin Harris,10378,Hong Kong
8,Strip That Down,Liam Payne,9882,Hong Kong
9,I'm the One,DJ Khaled,9853,Hong Kong
10,Mama,Jonas Blue,9323,Hong Kong
