Position,Track,Artist,Streams,ADMIN
10,Closer,The Chainsmokers,74981,Sweden
1,Chantaje,Shakira,395069,Mexico
2,Reggaetón Lento (Bailemos),CNCO,336760,Mexico
3,Vente Pa' Ca,Ricky Martin,300392,Mexico
4,Safari,J Balvin,283184,Mexico
5,Otra Vez (feat. J Balvin),Zion & Lennox,254484,Mexico
6,La Bicicleta,Carlos Vives,224828,Mexico
7,Traicionera,Sebastian Yatra,224723,Mexico
8,Closer,The Chainsmokers,195640,Mexico
9,Shaky Shaky,Daddy Yankee,192534,Mexico
10,Starboy,The Weeknd,184402,Mexico
1,Chantaje,Shakira,9081,Panama
2,Otra Vez (feat. J Balvin),Zion & Lennox,8660,Panama
3,Safari,J Balvin,8307,Panama
4,Reggaetón Lento (Bailemos),CNCO,7811,Panama
5,Vente Pa' Ca,Ricky Martin,7468,Panama
6,La Bicicleta,Carlos Vives,5867,Panama
7,Let Me Love You,DJ Snake,5375,Panama
8,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel Aa,4801,Panama
9,Andas En Mi Cabeza,Chino & Nacho,4693,Panama
10,Shaky Shaky,Daddy Yankee,4506,Panama
1,Cuando Se Pone a Bailar,Rombai,15516,Uruguay
2,Reggaetón Lento (Bailemos),CNCO,15275,Uruguay
3,Chantaje,Shakira,15007,Uruguay
4,Vente Pa' Ca,Ricky Martin,13268,Uruguay
5,Safari,J Balvin,10784,Uruguay
6,Shaky Shaky,Daddy Yankee,9763,Uruguay
7,Otra Vez (feat. J Balvin),Zion & Lennox,9462,Uruguay
8,La Bicicleta,Carlos Vives,9303,Uruguay
9,Traicionera,Sebastian Yatra,8992,Uruguay
10,Carnavalintro,CHANO,7445,Uruguay
1,Starboy,The Weeknd,3311,Iceland
2,Silfurskotta,Emmsjé Gauti,2292,Iceland
3,I Feel It Coming,The Weeknd,2247,Iceland
4,Let Me Love You,DJ Snake,2128,Iceland
5,Reykjavík,Emmsjé Gauti,2114,Iceland
6,Black Beatles,Rae Sremmurd,2096,Iceland
7,One Dance,Drake,2059,Iceland
8,Say You Won't Let Go,James Arthur,2056,Iceland
9,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1952,Iceland
10,Fröken Reykjavík,Friðrik Dór,1928,Iceland
1,Chantaje,Shakira,189721,Spain
2,Reggaetón Lento (Bailemos),CNCO,165291,Spain
3,Safari,J Balvin,141575,Spain
4,Vente Pa' Ca,Ricky Martin,119865,Spain
5,La Bicicleta,Carlos Vives,119181,Spain
6,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,113411,Spain
7,Traicionera,Sebastian Yatra,102619,Spain
8,Gyal You A Party Animal - Remix,Charly Black,96304,Spain
9,Otra Vez (feat. J Balvin),Zion & Lennox,95084,Spain
10,24K Magic,Bruno Mars,82569,Spain
1,Closer,The Chainsmokers,6406,Czech Republic
2,Starboy,The Weeknd,6165,Czech Republic
3,Let Me Love You,DJ Snake,6040,Czech Republic
4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,5416,Czech Republic
5,Don't Wanna Know,Maroon 5,4865,Czech Republic
6,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,4620,Czech Republic
7,Heathens,Twenty One Pilots,4522,Czech Republic
8,Call On Me - Ryan Riback Extended Remix,Starley,4407,Czech Republic
9,Say You Won't Let Go,James Arthur,4332,Czech Republic
10,My Way,Calvin Harris,4282,Czech Republic
1,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,24914,Ireland
2,Starboy,The Weeknd,20407,Ireland
3,Say You Won't Let Go,James Arthur,18749,Ireland
4,Sexual,NEIKED,18662,Ireland
5,All Night,The Vamps,16781,Ireland
6,Closer,The Chainsmokers,16423,Ireland
7,Don't Wanna Know,Maroon 5,16287,Ireland
8,Call On Me - Ryan Riback Extended Remix,Starley,15645,Ireland
9,Just Hold On,Steve Aoki,15182,Ireland
10,One Dance,Drake,14813,Ireland
1,Energie,Ronnie Flex,112252,Netherlands
2,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,106984,Netherlands
3,Say You Won't Let Go,James Arthur,96067,Netherlands
4,Het Is Een Feit,Broederliefde,91829,Netherlands
5,Starboy,The Weeknd,76076,Netherlands
6,Let Me Love You,DJ Snake,74970,Netherlands
7,Closer,The Chainsmokers,74898,Netherlands
8,24K Magic,Bruno Mars,72781,Netherlands
9,I Feel It Coming,The Weeknd,72076,Netherlands
10,Overal,F1rstman,67733,Netherlands
1,Starboy,The Weeknd,2197,Slovakia
2,Closer,The Chainsmokers,1777,Slovakia
3,Let Me Love You,DJ Snake,1732,Slovakia
4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1714,Slovakia
5,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1511,Slovakia
6,I Feel It Coming,The Weeknd,1289,Slovakia
7,Don't Wanna Know,Maroon 5,1276,Slovakia
8,Just Hold On,Steve Aoki,1245,Slovakia
9,Black Beatles,Rae Sremmurd,1234,Slovakia
10,Say You Won't Let Go,James Arthur,1179,Slovakia
1,Otra Vez (feat. J Balvin),Zion & Lennox,38341,Colombia
2,Chantaje,Shakira,30797,Colombia
3,Safari,J Balvin,29805,Colombia
4,La Bicicleta,Carlos Vives,29357,Colombia
